t,x,y,yaw,v,w,cmd_v,cmd_w
1780837945.721582890,2.557229623,-0.376086737,-0.149753889,1.289729417,-0.083886844,1.289729417,-0.083886844
1780837945.741461039,2.582833955,-0.380033106,-0.151431626,1.289729417,-0.083886844,1.289729417,-0.083886844
1780837945.761552095,2.608261586,-0.383888202,-0.153109363,1.289729417,-0.083886844,1.289729417,-0.083886844
1780837945.781445742,2.633830482,-0.387907556,-0.154787100,1.289729417,-0.083886844,1.289729417,-0.083886844
1780837945.801370859,2.659343458,-0.391831934,-0.156464837,1.289729417,-0.083886844,1.289729417,-0.083886844
1780837945.821453094,2.681929266,-0.395426578,-0.157773040,1.142670115,-0.065410167,1.142670115,-0.065410167
1780837945.841678381,2.704480650,-0.399093333,-0.159081243,1.142670115,-0.065410167,1.142670115,-0.065410167
1780837945.861505032,2.727009478,-0.402690044,-0.160389447,1.142670115,-0.065410167,1.142670115,-0.065410167
1780837945.881491899,2.749479786,-0.406272473,-0.161697650,1.142670115,-0.065410167,1.142670115,-0.065410167
1780837945.901523113,2.772016327,-0.409867639,-0.163005853,1.142670115,-0.065410167,1.142670115,-0.065410167
1780837945.921465635,2.797100049,-0.414051719,-0.164944474,1.266498804,-0.096931034,1.266498804,-0.096931034
1780837945.941522837,2.822168828,-0.418256108,-0.166883095,1.266498804,-0.096931034,1.266498804,-0.096931034
1780837945.961687803,2.847171692,-0.422415272,-0.168821715,1.266498804,-0.096931034,1.266498804,-0.096931034
1780837945.981640339,2.872229520,-0.426710420,-0.170760336,1.266498804,-0.096931034,1.266498804,-0.096931034
1780837946.001573563,2.897258736,-0.430961134,-0.172698957,1.266498804,-0.096931034,1.266498804,-0.096931034
1780837946.021667004,2.921026605,-0.435049304,-0.172616583,1.204815111,0.004118701,1.204815111,0.004118701
1780837946.041631460,2.944772031,-0.439256264,-0.172534209,1.204815111,0.004118701,1.204815111,0.004118701
1780837946.061720610,2.968508728,-0.443331576,-0.172451835,1.204815111,0.004118701,1.204815111,0.004118701
1780837946.081553459,2.992295801,-0.447474135,-0.172369461,1.204815111,0.004118701,1.204815111,0.004118701
1780837946.101603508,3.016020258,-0.451668595,-0.172287087,1.204815111,0.004118701,1.204815111,0.004118701
1780837946.121663570,3.042421223,-0.456205785,-0.172888693,1.340897028,-0.030080307,1.340897028,-0.030080307
1780837946.141635895,3.068840588,-0.460749140,-0.173490299,1.340897028,-0.030080307,1.340897028,-0.030080307
1780837946.161585093,3.095159189,-0.465408749,-0.174091905,1.340897028,-0.030080307,1.340897028,-0.030080307
1780837946.181658983,3.121583193,-0.470046180,-0.174693511,1.340897028,-0.030080307,1.340897028,-0.030080307
1780837946.201611042,3.148088356,-0.474727627,-0.175295117,1.340897028,-0.030080307,1.340897028,-0.030080307
1780837946.221462011,3.171527236,-0.478903221,-0.175836810,1.188034452,-0.027084622,1.188034452,-0.027084622
